group_id,variant_code
img-2b90611df34aafb93067,vmm-7019d36e762a79bfdaaf36ef7db9487e077ac29eeb678f4e85c9b768ff2f2874
img-2b90611df34aafb93067,vmm-842ff55db05ace8e25f41950f6ec1aee51a453ce21d8ea7f155618c9232c9f22
img-6f2f82eb6a3f4eb31185,vmm-4a004e81eb0d1fad821ae9669e26a96275de609249f04411d18fae6083985a5b
img-6f2f82eb6a3f4eb31185,vmm-da392ed175bbf2afb99c5ce6afa3407635d582b78af56bdea46ae73d820d6498
img-6f2f82eb6a3f4eb31185,vmm-b4f7d71ca3764226b42524df4cb6e24aef326c862afca9386dac01e23f9e8d3c
img-6f2f82eb6a3f4eb31185,vmm-a62c3cc35f07e9f807b02533f652a75cebfe7b26bcd3c09518af1b5ea13b8a20
img-6f2f82eb6a3f4eb31185,vmm-609e46a23b398579768402dbc4af5254019e811ee8f6259e58a09e17f0ac734b
img-6f2f82eb6a3f4eb31185,vmm-81a444418aed8763a0ec2de0cc4f0c3541950268042cab29dbd895219be70f25
img-6f2f82eb6a3f4eb31185,vmm-aa18944e44119aa899915211ebe260e915af5b65e84d7f391e3df4e16927796a
img-6f2f82eb6a3f4eb31185,vmm-89d00112d353177fb85ba9e50c14ed7cb146cb09f9d7e87de05cac8c7bc9802f
img-04946bd1f7a80bd5a4e2,vmm-6a0a9cf271e46df9225c415ed177d846e6803752496ec5aa0a3013fdcaccaef1
img-6df514839a2f1788707a,vmm-b5c5b3b58927931b4dee411718ccb10c6bb01d8e68fdb2eafb38c721e8edd9ca
img-6df514839a2f1788707a,vmm-0922cd46aba552909e287326c766b1b9ffc94981365ff1fc51efe596ea942c7f
img-6df514839a2f1788707a,vmm-a7b8ebfb1d80c82f9b1af3906d9881ed6537713f8fbabaa81b2e378a50787b88
img-6df514839a2f1788707a,vmm-acd1cd49c5fba002526b120fe30797573b1c4f68a8150c643e32562718f2ab2d
img-6df514839a2f1788707a,vmm-39c3519d56873990c649d02ec55bbc0af939ba5157d789ba5760415d7e067a3b
img-6df514839a2f1788707a,vmm-f50e4eaed1ee15eb49daca7c27bdef627e45c84d61fcf3f8187accbebdaa84a7
img-6df514839a2f1788707a,vmm-8823f6f769e357e96fb0624b2746a3ff097cb4ad77c2dada1f2a0f2a6badd6ce
img-d6f3a7aedfe1ac6c666c,vmm-b4ef0f2e19ef73321d63a3695237ae8c4ad3c07db0c1367ced13a47003ba9905
img-d6f3a7aedfe1ac6c666c,vmm-3f8330fc130f959f5107444fbb02bc8ddd7fb84f73ab0e5d220d7fcbf44c9c34
img-d6f3a7aedfe1ac6c666c,vmm-2cf0e45e11e6342c6046c53e3cdff5d1e42a778a4af13ed1317842599da13063
img-d6f3a7aedfe1ac6c666c,vmm-cdbc459450b3b763382008711fb59069089882b32e069954b1d3cfc63c94b54e
img-d6f3a7aedfe1ac6c666c,vmm-0b70bd7af71b3309632572dd7f3fed26438c09256b0fb8ca0caf63e923dc5b3b
img-d6f3a7aedfe1ac6c666c,vmm-8c3bba5fb033c4a966ad9afe8b78cfc1f76a66a27d6008d3fac9a12b8bcbbf4e
img-d6f3a7aedfe1ac6c666c,vmm-66a380e30960a5e6999d9cc3b2829174f00fad1dbaaca360618dc1aaf5a4e39c
img-d6f3a7aedfe1ac6c666c,vmm-ff9582893118835f85454c0d9fc4f0ca032397860ba5ed6ca25e24229e3483e6
img-e5492b1df4d8ecdb79eb,vmm-fbc0fdf4664f7bee7641987726b4fcd6b403adfc95bc519e239230e3eb158052
img-e5492b1df4d8ecdb79eb,vmm-f8cdeb7d1bf5e495022355b5519fbae18cafada4149f45e809eabd321288587b
img-e5492b1df4d8ecdb79eb,vmm-57979c751da75d86532ddf25af8fc142f2af1c269ff8fefd3f30b556813c9fcd
img-e5492b1df4d8ecdb79eb,vmm-4db95cd59774b8fd771f3eac43f1a4edb084dfcecc8cecac388f7c14bd01d424
img-e5492b1df4d8ecdb79eb,vmm-1e44ff80a79a877fb6704990af2545b007ec73d4f63958e4dc3355849be6784f
img-e5492b1df4d8ecdb79eb,vmm-ff5651233cbc3f7b24b93a29c1eeb28185e974b37c81fe057f5e1f7d9fffc84a
img-e5492b1df4d8ecdb79eb,vmm-07ebb3f9958f688ec8137c3ddaf36d1c9ada814d49490013f880d8342df06cb8
img-c517ae07c1727c82b335,vmm-1fd44755aed851aca489728fc2e21bb79669896a01b71224e6bfdaff352296c2
img-c517ae07c1727c82b335,vmm-7e2d8a6f1f47335b6a19c0f06630a78140a16d150c2ce72c90ba29a953c58ebb
img-c517ae07c1727c82b335,vmm-d8febe3ab452cbe578a36f53103042ca901b57e744729e273fcdf6e047fb2d5c
img-c517ae07c1727c82b335,vmm-2fa167624866b4938df7a946edb245a269a566c143f8b601760ea360672c4cb4
img-c517ae07c1727c82b335,vmm-a34cf0c7b9e426fc9aa9e769eeef38a5e12c87c35f9322bd9b03687933bd58a7
