source_row,variant_code,flags
419,vmm-0bc010c1d12400b8076a974cb3efc74e22bf0f8451ef38a4cc20b6ffa50e256d,LEGACY_QUOTE_REQUIRED
420,vmm-2f163a2d297201e1f2346c3edca52d22cd1348c7f4a77059a10584aa3765e3a2,LEGACY_QUOTE_REQUIRED
434,vmm-50c6f58d45a9be34978470490207f7375cbf1a3210cff3b8e7670ea90b471fe4,MASS_UNKNOWN_OR_OUTLIER
436,vmm-016406ee7279ace253b69da99c2e0f08629102cb87410a6c6681dda75361a864,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
437,vmm-5baf2e7cc31008307c20986118084078120b9d3edecbf3a2d28b474f6feb5f5a,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
438,vmm-caf19e8b1d72dc07a6006738cb351c9e75913e993098b6cb2837280603d6fad9,MASS_UNKNOWN_OR_OUTLIER
439,vmm-5d4e1d9eb87060e22886d64a67d7b0a603faeb19dd14b9da2eeead55a132541d,MASS_UNKNOWN_OR_OUTLIER
448,vmm-eea370fffeb47556fef6b6098267160d654ddf9369d260c660c4bb0dcfd64c23,TRANSMISSION_LABEL_CONFLICT
465,vmm-896410a9e410759dca5daed4cac0858d20e8b1c2045de2c9509ea2bf767e4b57,LEGACY_QUOTE_REQUIRED
482,vmm-ef6b3edf64b7f3f2b53b75251793f39dfdd130f60da3631e0307f42218547ce3,LEGACY_QUOTE_REQUIRED
483,vmm-cb835b7781b051acf83ff108decee945023c7ab5d399cd0fb07eaff015e4fb8c,LEGACY_QUOTE_REQUIRED
484,vmm-1a038acb876eda1d676a83a4e8cd7b68306c8890a27cdde2d9e18b03affdca0f,MASS_UNKNOWN_OR_OUTLIER;LEGACY_QUOTE_REQUIRED
485,vmm-3a4ffbd966993223468b39745bb9e805f68f032fd0ca966270f686f7dd39f1e7,LEGACY_QUOTE_REQUIRED
486,vmm-bbd8f6b2910d0e8d66ce6b93bd0ff87718ba0da1adbb10b6585e8611e3b2b95d,MASS_UNKNOWN_OR_OUTLIER;LEGACY_QUOTE_REQUIRED
487,vmm-1f5b9782ab6fa1a5546304565fb59fe501cbffcc981423a75d891437f02c8246,DISPLACEMENT_UNKNOWN_OR_OUTLIER;LEGACY_QUOTE_REQUIRED
488,vmm-e3ae6b5caee513d3c87711719a871178dfc3e10ac5c9dc91c7b0c8f6471032c3,LEGACY_QUOTE_REQUIRED
489,vmm-b76e2a9f7b73f2a86b61f7fe34e1ae5df0081177150e84663000af98d5208053,LEGACY_QUOTE_REQUIRED
490,vmm-9e88c3026898ecc71159bf101c3fee6e846d610c61a900774957077472c5d71a,MASS_UNKNOWN_OR_OUTLIER;LEGACY_QUOTE_REQUIRED
499,vmm-10354fb956cce727ef140157398021621aed033f71426ba4073b972949c70908,MASS_UNKNOWN_OR_OUTLIER
500,vmm-f55cef911d83d054863d0b5c8eda696b6e560d698b59be8a368dcc70d5132373,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
501,vmm-96e9368b4c64fc89e6a59354b60c1a701b6e6c356b3a571165f74d0c8bf4e343,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
502,vmm-28962671aaa9db6a097b5bb8950e98bdb84eb50c62cc9ee7ca8e71b8c9347ca9,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
503,vmm-cd581a7fbf1ca3d54e74f7889aa66b29fc5b73a7c519d86bfc2337cbbb1656ff,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
504,vmm-beb7de27b43b24480601d80e2d0451ee30870682be9c3c2f7576e83a47565467,HYBRID_COMBUSTION_FUEL_UNSPECIFIED
505,vmm-af0badbfe123e36b0e1677b9f51baac87cdb7a0cf4eb3e7bd4e6a585966cb3b4,MASS_UNKNOWN_OR_OUTLIER
507,vmm-a7bff00fb25aca4d25978debf9df8742848ab2e14010aa432cf171704627730a,MASS_UNKNOWN_OR_OUTLIER
508,vmm-d53c32020a4e119fb137e1a317bf177cec1baa746e32504be5cd85655df0c299,MASS_UNKNOWN_OR_OUTLIER
511,vmm-da1767e11fe2d66c2e566544b554d7f4130545397599c0e66dd0bc53705217b3,LEGACY_QUOTE_REQUIRED
512,vmm-123601987428ee4720dfcd75efed3b207b140421ed0af84969180dffb7cbd98f,LEGACY_QUOTE_REQUIRED
513,vmm-b2c9a644535ef7c56222a56e73de8606c5fafe6d88d963552f47bd554c09a714,LEGACY_QUOTE_REQUIRED
514,vmm-64e3033ec973a5a368dc27f9c87ac164db36a1adc709a77ee1772bf5e636dfd6,LEGACY_QUOTE_REQUIRED
515,vmm-ecca1e202aa11f6134f8e334eafca070bce5b0dad885d673f1edfba21098eecd,LEGACY_QUOTE_REQUIRED
516,vmm-0094f19481849c8c8f9f762c98112964045413a3fe956ec4f94f73b6e78ed86e,LEGACY_QUOTE_REQUIRED
517,vmm-67a4ed80fa56f3db1f5a88b54502c3c940c56ad1d13bb94ef65537d9da62905f,LEGACY_QUOTE_REQUIRED
518,vmm-b94e354e301e2202c3842fce3af5b560833d670568112829450d70692889a609,LEGACY_QUOTE_REQUIRED
519,vmm-bac3304c6cff468db723a762133818eea841479f728e5a8f6ab3e6b57ad951c7,MASS_UNKNOWN_OR_OUTLIER
520,vmm-b72400d7f56046a609bffe21f7ea9e61c9a6a2561aedd28c56614cbcb07bd3a9,DISPLACEMENT_UNKNOWN_OR_OUTLIER
525,vmm-a62a4b1327e9182aa13bcb04c45aa4f2533e1bc62a13ce7dc6b61be318b213fa,MASS_UNKNOWN_OR_OUTLIER;HR_PARTS_AVAILABILITY_UNCERTAIN
526,vmm-47d2845c690ee47a610ed332dd368b3f6da4ff19be8be55b55c821ac84016945,MASS_UNKNOWN_OR_OUTLIER;HR_PARTS_AVAILABILITY_UNCERTAIN
527,vmm-88827244f45ccf803f1eb55b4c8c946257ccf1cb0391adbfe4146e69ac9531bb,MASS_UNKNOWN_OR_OUTLIER;HR_PARTS_AVAILABILITY_UNCERTAIN
528,vmm-dc9b2d28089957e5507bbf83d70a57093c0f3e7271b4cf5ae5c422f6e314c1fc,MASS_UNKNOWN_OR_OUTLIER;HR_PARTS_AVAILABILITY_UNCERTAIN
529,vmm-6f42eea6100de40a61cc0874a2adf15ed335f0a7007a27a16f5fe18f60277255,MASS_UNKNOWN_OR_OUTLIER;HR_PARTS_AVAILABILITY_UNCERTAIN
530,vmm-ca60eccbccc05ea476e057c8c4711eb6011993e6156e8cd57d463204a7d451f7,MASS_UNKNOWN_OR_OUTLIER;HR_PARTS_AVAILABILITY_UNCERTAIN
531,vmm-720c8d52c8fb3f36dee41ff9fe441db206841b222c6343164ff22f3885a27a08,TRANSMISSION_UNKNOWN;EXOTIC_QUOTE_REQUIRED
532,vmm-c4dc81ba0676b912d95687f1b5af312186ac73bd5f60bf298f67803229524f80,EXOTIC_QUOTE_REQUIRED
533,vmm-96510fcbef46bf4e1c56a08695a577b8916cebc782f3dbda7b320ea7249da89e,EXOTIC_QUOTE_REQUIRED
534,vmm-c71ce092b717a597621c4a218ea510a4e95bdeb1dabb468efbced0926a327ba2,DISPLACEMENT_LABEL_CONFLICT;EXOTIC_QUOTE_REQUIRED
535,vmm-2fd5179d5a40a73e2eb14aabc3bb16489e3f31a3c769c860d56298ffd7995e8b,DISPLACEMENT_LABEL_CONFLICT;EXOTIC_QUOTE_REQUIRED
536,vmm-dc5c440472df6f468f809a8dbad8d805b845b8a51b1b257c0fe1ec35448cff9c,EXOTIC_QUOTE_REQUIRED
537,vmm-d2177317521d415f38cb56ea02c60841e827975b6a4116225eb7737fd63b25f8,EXOTIC_QUOTE_REQUIRED
538,vmm-7feabdfdd9fac627c5d41be9e14d3e70c21cb78d09fe9cab43335f1226b2f926,EXOTIC_QUOTE_REQUIRED
539,vmm-63e70e05026cd2401e5183359c001f8b670cac1620c1acd5ac0aa1af34876456,EXOTIC_QUOTE_REQUIRED
540,vmm-4b53a8770e69b5cb4c90c5c18ed3cf330658d5633fa51b86833924522e1d56e5,LEGACY_QUOTE_REQUIRED
541,vmm-27d4a0db71936f4950fca3a52be836d5ecb6c3f968061b1bc66d6e39cb6a9f80,LEGACY_QUOTE_REQUIRED
542,vmm-55248716b070c1e8587612db266700fe3db4f4f16f12c89437ff8d6636828f26,LEGACY_QUOTE_REQUIRED
543,vmm-c14997e977e2f92a5959406c717d9441a1a0573072e676ae4dfaee64e27fd33a,LEGACY_QUOTE_REQUIRED
544,vmm-0be732777c36dec6ec1dca0fd4c1565df949feea12efa22a527fc19cc84ef6e7,LEGACY_QUOTE_REQUIRED
546,vmm-bb1446ce1ffdee52f622780b53a5153219a36872080e704b29a1d516d3113dca,DISPLACEMENT_LABEL_CONFLICT
550,vmm-8ef6375a12cd5bb7f20da2fe8e2a336d21e51f657357e4d33b692bcacbb56a02,LEGACY_QUOTE_REQUIRED
551,vmm-33a50f82ae58f041841bc126a940d9a95dfee2008d9ebcedaedbd4049fea24c9,CYLINDERS_UNKNOWN_OR_INVALID;TRANSMISSION_UNKNOWN;LEGACY_QUOTE_REQUIRED
552,vmm-c0bdc18ea322cda77b3e9ad98c6a71c291d1de8b1866680981372c1c2a9f2c9a,CYLINDERS_UNKNOWN_OR_INVALID;MASS_UNKNOWN_OR_OUTLIER;TRANSMISSION_UNKNOWN;LEGACY_QUOTE_REQUIRED
553,vmm-a442e7c721d1002ad9812115616fbbd59879845f88effe93efb4ee7732700779,EXOTIC_QUOTE_REQUIRED
554,vmm-d8e2c62f04be8e1e708f6c515c4e03acb88f6ac9a7fad772939c7c7822b13eec,EXOTIC_QUOTE_REQUIRED
