source_row,variant_code,field,original_value,stored_value,reason
8233,vmm-c2f392f24e80bb6fa39f9baa5b31e04858f693c6aace4a61b9c3a8f2d8d97a63,power_hp,233.2,233,ROUNDED_FOR_INTEGER_STORAGE
8235,vmm-24b5d714589a5240c187b1c6e91730a479148e312db180e9b269a2e43e3c1758,power_hp,207.8,208,ROUNDED_FOR_INTEGER_STORAGE
8238,vmm-bdebd96dad3bb8a430819290677942a861e7ebe85e0b5d2d71bf74955af6e437,power_hp,263.6,264,ROUNDED_FOR_INTEGER_STORAGE
8384,vmm-a62e303f2663813587d6da0229f637b84db8de67bad7cafd281cccea3720d9f6,power_hp,21.5,22,ROUNDED_FOR_INTEGER_STORAGE
8952,vmm-34133252d1c7f3c4f6ef4fc30d1f462949c552b8d6078ae2a0aa889d4d6ea7af,power_hp,263.6,264,ROUNDED_FOR_INTEGER_STORAGE
8992,vmm-357109cc889483705688ff145866da5eb9110e0892c24cccd157e54fb80d1952,power_hp,85.2,85,ROUNDED_FOR_INTEGER_STORAGE
8993,vmm-1582565351c3a5d975046ab4b62614d89b3ae93527bd330e08580da36f65327c,power_hp,152.1,152,ROUNDED_FOR_INTEGER_STORAGE
8994,vmm-98cea37a937cce6b84f7b2ff5734dccf45ef9ff3a2fdae3632d772c9fe3bd453,power_hp,126.7,127,ROUNDED_FOR_INTEGER_STORAGE
8995,vmm-d53328e1dadf346330d95377daa5154bd26ba53800193e65aa0260933e19e5ce,power_hp,138.9,139,ROUNDED_FOR_INTEGER_STORAGE
8996,vmm-eabc0ba165211e8c49f99c654e16a39c102e02a533d33949d50485c838f46e93,power_hp,126.7,127,ROUNDED_FOR_INTEGER_STORAGE
8997,vmm-f7ae7fc4328a840177022649c495120c57a2b0af2c0a0b100e1e5b81e10507a1,power_hp,138.9,139,ROUNDED_FOR_INTEGER_STORAGE
8998,vmm-96bfa0add28bc3ac5a9ba6b9e30f2b54729e3d00f5e649ac2ae984bbfcd21ae8,power_hp,207.8,208,ROUNDED_FOR_INTEGER_STORAGE
9159,vmm-1306e2b0adb796c289c49f3867e7701c528c68c4c2fa0da7dd529978191d21fe,power_hp,339.6,340,ROUNDED_FOR_INTEGER_STORAGE
9288,vmm-9e7fd910a7aaf8d5f058a965b2b7408ed9c8d287bb7b2852e0294ac35d495da3,power_hp,405.5,406,ROUNDED_FOR_INTEGER_STORAGE
